Years,Wolf,Rabbit,Grass,Dirt
822,614,778,4193,4415
823,624,739,4250,4387
824,644,678,4332,4346
825,668,650,4312,4370
826,682,610,4353,4355
827,696,546,4360,4398
828,717,482,4491,4310
829,747,440,4611,4202
830,762,419,4674,4145
831,785,393,4779,4043
832,805,364,4789,4042
833,819,317,4840,4024
834,829,275,4970,3926
835,837,261,5089,3813
836,855,225,5189,3731
837,870,203,5323,3604
838,878,190,5408,3524
839,883,165,5515,3437
840,885,140,5589,3386
841,871,124,5712,3293
842,868,109,5803,3220
843,854,101,5931,3114
844,841,96,5953,3110
845,837,88,6077,2998
846,821,89,6175,2915
847,794,73,6306,2827
848,758,67,6396,2779
849,723,73,6522,2682
850,692,69,6660,2579
851,657,77,6821,2445
852,622,69,6999,2310
853,589,74,7124,2213
854,532,82,7319,2067
855,499,93,7543,1865
856,468,103,7615,1814
857,428,110,7753,1709
858,399,126,7870,1605
859,369,143,7985,1503
860,352,168,8055,1425
861,320,200,8041,1439
862,296,243,8084,1377
863,279,286,8059,1376
864,271,344,7959,1426
865,264,406,7775,1555
866,262,479,7599,1660
867,256,538,7460,1746
868,248,626,7262,1864
869,263,714,7006,2017
870,262,817,6680,2241
871,264,925,6365,2446
872,271,1027,6025,2677
873,279,1158,5646,2917
874,287,1317,5226,3170
875,297,1411,4812,3480
876,302,1541,4408,3749
877,310,1605,4022,4063
878,316,1704,3733,4247
879,326,1708,3429,4537
880,335,1712,3222,4731
881,343,1642,3065,4950
882,355,1583,2955,5107
883,366,1514,2841,5279
884,380,1431,2725,5464
885,397,1290,2770,5543
886,406,1142,2785,5667
887,418,1039,2895,5648
888,430,960,3021,5589
889,446,876,3105,5573
890,461,812,3205,5522
891,470,742,3377,5411
892,493,655,3563,5289
893,509,603,3762,5126
894,527,583,3968,4922
895,544,545,4090,4821
896,562,505,4270,4663
897,578,488,4370,4564
898,588,484,4458,4470
899,611,410,4548,4431
900,625,383,4728,4264
901,645,369,4944,4042
902,657,353,5057,3933
903,672,337,5139,3852
904,684,297,5276,3743
905,695,299,5361,3645
906,718,288,5374,3620
907,729,284,5463,3524
908,730,267,5515,3488
909,737,240,5640,3383
910,748,239,5698,3315
911,748,207,5779,3266
912,751,192,5801,3256
913,750,180,5898,3172
914,746,167,6003,3084
915,746,160,6137,2957
916,737,152,6193,2918
917,726,158,6230,2886
918,721,160,6351,2768
919,714,164,6370,2752
920,701,152,6389,2758
921,698,158,6429,2715
922,671,162,6492,2675
923,640,167,6598,2595
924,625,162,6724,2489
925,612,155,6863,2370
926,598,160,7002,2240
927,579,163,7088,2170
928,564,171,7139,2126
929,544,165,7183,2108
930,523,182,7274,2021
931,518,184,7250,2048
932,508,187,7319,1986
933,491,206,7300,2003
934,489,213,7357,1941
935,489,236,7347,1928
936,483,266,7325,1926
937,480,313,7219,1988
938,464,348,7159,2029
939,460,348,7093,2099
940,451,386,7037,2126
941,447,428,6989,2136
942,445,450,6895,2210
943,448,472,6772,2308
944,457,501,6708,2334
945,471,541,6537,2451
946,470,578,6280,2672
947,477,607,6168,2748
948,486,638,6045,2831
949,489,656,5857,2998
950,507,691,5662,3140
951,518,722,5568,3192
952,532,717,5470,3281
953,542,727,5339,3392
954,558,735,5194,3513
955,570,745,5143,3542
956,579,753,5082,3586
957,597,750,4984,3669
958,618,714,4904,3764
959,628,709,4856,3807
960,646,672,4812,3870
961,668,594,4738,4000
962,694,542,4784,3980
963,718,533,4834,3915
964,733,477,4848,3942
965,743,433,4946,3878
966,763,422,4998,3817
967,780,382,5070,3768
968,799,353,5104,3744
969,818,334,5119,3729
970,831,292,5215,3662
971,844,256,5279,3621
972,859,222,5350,3569
973,883,190,5453,3474
974,891,156,5566,3387
975,897,147,5632,3324
976,907,139,5757,3197
977,913,127,5786,3174
978,916,115,5830,3139
979,901,103,5875,3121
980,878,96,6047,2979
981,870,74,6143,2913
982,859,71,6224,2846
983,842,72,6302,2784
984,811,76,6417,2696
985,768,70,6581,2581
986,744,74,6663,2519
987,696,70,6836,2398
988,655,81,6953,2311
989,626,88,7079,2207
990,581,92,7244,2083
991,547,99,7370,1984
992,502,102,7524,1872
993,460,116,7685,1739
994,432,121,7770,1677
995,397,147,7897,1559
996,377,162,7930,1531
997,349,169,7982,1500
998,329,192,8013,1466
999,314,233,8018,1435
